#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:38:25       1    294     66      -    100     17      0      0      0      0   9501   1890  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:38:26       0    296     49      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:26       1    291     66      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:27       0    293     49      -     85     22      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:27       1    288     65      -     85     22      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:28       0    293     49      -     97     24      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:28       1    288     66      -     98     22      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:29       0    291     49      -     98     19      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:29       1    286     66      -     99     19      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:30       0    299     50      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:30       1    294     67      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:31       0    296     50      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:31       1    291     67      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:32       0    297     50      -    100     24      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:32       1    291     65      -    100     24      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:33       0    294     50      -     97     27      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:33       1    289     66      -     98     26      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:34       0    292     50      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:34       1    286     67      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:35       0    297     50      -     98     22      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:35       1    291     67      -     98     21      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:36       0    294     51      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:36       1    288     67      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:37       0    298     50      -     81     30      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:37       1    291     66      -     80     29      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:38       0    297     51      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:38       1    291     67      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:39       0    296     51      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:39       1    290     67      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:40       0    302     52      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:40       1    296     67      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:41       0    294     51      -     97     24      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:41       1    287     67      -     98     24      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:42       0    297     51      -     83     19      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:42       1    289     66      -     82     19      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:43       0    300     52      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:43       1    293     67      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:44       0    295     52      -    100     17      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:44       1    288     67      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:45       0    303     53      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:45       1    297     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:46       0    298     53      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:46       1    291     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:47       0    296     52      -     84     19      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:47       1    289     67      -     84     18      0      0      0      0   9501   1890  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:38:48       0    297     53      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:48       1    290     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:49       0    301     53      -    100     17      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:49       1    294     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:50       0    301     53      -    100     18      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:50       1    293     68      -    100     18      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:51       0    300     53      -    100     17      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:51       1    292     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:52       0    296     53      -     97     21      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:52       1    288     68      -     97     20      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:53       0    303     54      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:53       1    296     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:54       0    299     54      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:54       1    291     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:55       0    303     54      -    100     26      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:55       1    295     67      -     99     26      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:56       0    299     55      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:56       1    290     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:57       0    299     54      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:57       1    291     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:58       0    304     55      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:58       1    295     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:59       0    299     55      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:59       1    290     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:00       0    306     55      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:00       1    298     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:01       0    298     55      -     97     22      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:01       1    289     68      -     98     21      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:02       0    301     56      -    100     19      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:02       1    291     68      -    100     18      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:03       0    302     55      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:03       1    295     69      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:04       0    301     56      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:04       1    291     69      -    100     18      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:05       0    301     56      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:05       1    291     68      -    100     19      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:06       0    304     56      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:06       1    294     68      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:07       0    301     57      -    100     19      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:07       1    291     69      -    100     21      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:08       0    301     56      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:08       1    292     68      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:39:09       0    303     57      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:09       1    294     69      -    100     16      0      0      0      0   9501   1890  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:39:11       0    303     57      -     97     26      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:11       1    292     69      -     98     26      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:12       0    305     57      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:12       1    292     69      -    100     17      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:13       0    302     57      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:13       1    289     69      -    100     18      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:14       0    302     57      -     98     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:14       1    288     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:15       0    306     57      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:15       1    294     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:16       0    301     58      -    100     21      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:16       1    287     69      -     93     20      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:17       0    309     58      -     98     22      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:17       1    294     69      -     98     22      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:18       0    303     58      -     98     23      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:18       1    288     69      -     98     23      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:19       0    301     57      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:19       1    287     68      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:20       0    307     58      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:20       1    293     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:21       0    303     58      -    100     22      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:21       1    288     69      -    100     22      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:22       0    309     58      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:39:22       1    295     69      -    100     16      0      0      0      0   9501   1875  23289  23289      0
 20260816    02:39:23       0    304     58      -    100     16      0      0      0      0   9501   1965  23289      4      0
