# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    326     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    718    711 
    0    355     62      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    744    771 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    813    768 
    0    350     62      -    100     21      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    745    771 
    1    328     73      -    100     20      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    776 
    0    351     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2476   2901 
    1    328     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2677   2898 
    0    339     62      -     99     41      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    767    779 
    1    316     73      -     99     39      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    819    781 
    0    354     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    743    770 
    1    332     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    810    776 
    0    351     63      -     98     60      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    694   2014 
    1    329     73      -     98     63      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1975   2134 
    0    349     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    755    778 
    1    328     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    818    774 
    0    347     62      -     98     68      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    762    774 
    1    325     73      -     98     66      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    746 
    0    351     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    751    777 
    1    329     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    827    794 
