# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    311     71      -    100     29      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    646   1103 
    0    333     63      -     99     61      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2429   2512 
    1    315     71      -     99     64      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2423   1200 
    0    330     63      -     99     53      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    752    724 
    1    312     71      -     99     58      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    710    686 
    0    331     64      -     99     71      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2493   2693 
    1    312     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2490   2691 
    0    332     63      -     99     76      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2432   2635 
    1    313     71      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2511   2627 
    0    328     64      -     99     53      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    701    713 
    1    310     71      -     99     57      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    659    667 
    0    329     63      -     99     71      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    779    747 
    1    311     71      -     99     74      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    734    751 
    0    332     64      -    100     20      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    736    672 
    1    312     72      -    100     20      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    659    707 
    0    333     64      -     99     50      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2509   2708 
    1    313     72      -     99     47      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2504   2707 
    0    332     63      -     98     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    741    712 
    1    311     71      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    649    702 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
