# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    1    307     72      -    100     24      0      0      0      0   9501   1890  23289  23289      0
    0    339     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    328     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    335     62      -    100     16      0      0      0      0   9501   1950  23289      4      0
    1    315     72      -    100     16      0      0      0      0   9501   1890  23289  23289      0
    0    319     62      -    100     24      0      0      0      0   9501   1950  23289      4      0
    1    304     72      -    100     40      0      0      0      0   9501   1890  23289  23289      0
    0    338     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    326     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    363     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    348     73      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    334     62      -    100     18      0      0      0      0   9501   1950  23289      4      0
    1    313     73      -    100     20      0      0      0      0   9501   1875  23289  23289      0
    0    318     61      -    100     20      0      0      0      0   9501   1950  23289      4      0
    1    302     72      -    100     38      0      0      0      0   9501   1875  23289  23289      0
    0    337     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    323     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    363     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    351     62      -    100     26      0      0      0      0   9501   1950  23289      4      0
    1    332     73      -    100     76      0      0      0      0   9501   1875  23289  23289      0
    0    335     62      -    100     33      0      0      0      0   9501   1950  23289      4      0
    1    318     73      -    100     84      0      0      0      0   9501   1875  23289  23289      0
    0    328     62      -    100     36      0      0      0      0   9501   1950  23289      4      0
    1    311     73      -    100     68      0      0      0      0   9501   1875  23289  23289      0
    0    347     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    329     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    363     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    365     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    351     62      -    100     69      0      0      0      0   9501   1950  23289      4      0
    1    332     73      -    100     65      0      0      0      0   9501   1875  23289  23289      0
    0    330     61      -    100     37      0      0      0      0   9501   1950  23289      4      0
    1    314     72      -    100     36      0      0      0      0   9501   1875  23289  23289      0
    0    320     61      -    100     38      0      0      0      0   9501   1950  23289      4      0
